GeneID1	GeneID2
207	5728
1956	207
2064	1956
3480	2064
5290	3480
5295	5290
5728	5295
207	5728
1956	207
3480	1956
5058	3480
5290	5058
5295	5290
5728	5295
207	5728
672	207
1956	672
5058	1956
5290	5058
5295	5290
5728	5295
207	5728
2064	207
3480	2064
5058	3480
5290	5058
5295	5290
5728	5295
207	5295
2064	207
3480	2064
4214	3480
5058	4214
5290	5058
5295	5290
207	5295
595	207
1956	595
3480	1956
6416	3480
5290	6416
5295	5290
207	5290
2064	207
4214	2064
4609	4214
5058	4609
5290	5058
207	5295
672	207
595	672
1956	595
5290	1956
5295	5290
207	5295
672	207
595	672
4609	595
5290	4609
5295	5290
207	5290
595	207
2064	595
4609	2064
5290	4609
207	7157
472	207
4193	472
4194	4193
7157	4194
207	5295
672	207
3551	672
5290	3551
5295	5290
207	5295
1956	207
4214	1956
4609	4214
5058	4609
5290	5058
5295	5290
207	5295
1956	207
2064	1956
4214	2064
4609	4214
5290	4609
5295	5290
207	5295
595	207
1956	595
6416	1956
4609	6416
5290	4609
5295	5290
207	6416
10000	207
595	10000
3480	595
6416	3480
207	5295
1956	207
6416	1956
4214	6416
4609	4214
5058	4609
5295	5058
207	5290
595	207
1956	595
2064	1956
3480	2064
5290	3480
672	5925
595	672
4193	595
4683	4193
5925	4683
207	5295
672	207
4609	672
5058	4609
5290	5058
5295	5290
207	5295
1956	207
3480	1956
6416	3480
4214	6416
5058	4214
5290	5058
5295	5290
595	5925
1029	595
4193	1029
4602	4193
5925	4602
472	7157
11200	472
4193	11200
4194	4193
7157	4194
2064	5728
3481	2064
5290	3481
5728	5290
1499	7157
4089	1499
7157	4089
2064	5728
3630	2064
5290	3630
5728	5290
91	4893
3397	91
4893	3397
1499	6934
2064	1499
6934	2064
2064	6934
5728	2064
6934	5728
2064	4089
4087	2064
4089	4087
1499	5290
2064	1499
5290	2064
1499	4089
2064	1499
4087	2064
4089	4087
1029	7157
4193	1029
4194	4193
7157	4194
1029	5925
1030	1029
1031	1030
1019	1031
1021	1019
894	1021
5925	894
1956	5728
2064	1956
5156	2064
4233	5156
10253	4233
4893	10253
3265	4893
3845	3265
4763	3845
207	4763
208	207
10000	208
2308	10000
2309	2308
5290	2309
5295	5290
5728	5295
207	5728
1956	207
2475	1956
5290	2475
5728	5290
207	7249
2475	207
5290	2475
5728	5290
7248	5728
7249	7248
207	5290
1956	207
10399	1956
5290	10399
207	2475
5601	207
2475	5601
207	7157
1956	207
5728	1956
7157	5728
472	7157
1029	472
7157	1029
207	8878
5290	207
8878	5290
207	7249
2475	207
6009	2475
7248	6009
7249	7248
7157	7158
4193	7157
4194	4193
7158	4194
898	894
5925	898
1029	5925
595	1029
894	595
5290	4763
5728	5290
207	5728
208	207
3845	208
673	3845
4763	673
57111	6790
2122	57111
56648	2122
5584	56648
5290	5584
3815	5290
2246	3815
4609	2246
1956	4609
4854	1956
3845	4854
207	3845
2064	207
5295	2064
898	5295
208	898
6790	208
9077	5178
11186	9077
9940	11186
6678	9940
1601	6678
5325	1601
6196	5325
5728	6196
4978	5728
675	4978
115761	675
51741	115761
7157	51741
1801	7157
672	1801
5178	672
