GeneID1	GeneID2
207	5728
1956	207
2064	1956
3480	2064
5290	3480
5295	5290
5728	5295
207	5728
1956	207
3480	1956
5058	3480
5290	5058
5295	5290
5728	5295
207	5728
672	207
1956	672
5058	1956
5290	5058
5295	5290
5728	5295
207	5728
2064	207
3480	2064
5058	3480
5290	5058
5295	5290
5728	5295
207	5295
2064	207
3480	2064
4214	3480
5058	4214
5290	5058
5295	5290
207	5295
595	207
1956	595
3480	1956
6416	3480
5290	6416
5295	5290
207	5290
2064	207
4214	2064
4609	4214
5058	4609
5290	5058
207	5295
672	207
595	672
1956	595
5290	1956
5295	5290
207	5295
672	207
595	672
4609	595
5290	4609
5295	5290
207	5290
595	207
2064	595
4609	2064
5290	4609
207	7157
472	207
4193	472
4194	4193
7157	4194
207	5295
672	207
3551	672
5290	3551
5295	5290
207	5295
1956	207
4214	1956
4609	4214
5058	4609
5290	5058
5295	5290
207	5295
1956	207
2064	1956
4214	2064
4609	4214
5290	4609
5295	5290
207	5295
595	207
1956	595
6416	1956
4609	6416
5290	4609
5295	5290
207	6416
10000	207
595	10000
3480	595
6416	3480
207	5295
1956	207
6416	1956
4214	6416
4609	4214
5058	4609
5295	5058
207	5290
595	207
1956	595
2064	1956
3480	2064
5290	3480
672	5925
595	672
4193	595
4683	4193
5925	4683
207	5295
672	207
4609	672
5058	4609
5290	5058
5295	5290
207	5295
1956	207
3480	1956
6416	3480
4214	6416
5058	4214
5290	5058
5295	5290
595	5925
1029	595
4193	1029
4602	4193
5925	4602
472	7157
11200	472
4193	11200
4194	4193
7157	4194

