GeneID1	GeneID2
207	207
207	208
207	10000
207	5290
207	5728
207	5163
208	207
208	208
208	10000
208	5290
208	5728
208	5163
10000	207
10000	208
10000	10000
10000	5290
10000	5728
10000	5163
5290	207
5290	208
5290	10000
5290	5290
5290	5728
5290	5163
5728	207
5728	208
5728	10000
5728	5290
5728	5728
5728	5163
5163	207
5163	208
5163	10000
5163	5290
5163	5728
5163	5163
2932	2932
2932	84335
2932	6009
2932	7248
2932	7249
84335	2932
84335	84335
84335	6009
84335	7248
84335	7249
6009	2932
6009	84335
6009	6009
6009	7248
6009	7249
7248	2932
7248	84335
7248	6009
7248	7248
7248	7249
7249	2932
7249	84335
7249	6009
7249	7248
7249	7249
57521	57521
57521	253260
57521	2475
57521	6198
253260	57521
253260	253260
253260	2475
253260	6198
2475	57521
2475	253260
2475	2475
2475	6198
6198	57521
6198	253260
6198	2475
6198	6198
1978	1978
1978	1973
1978	1977
1978	1981
1978	2932
1978	6198
1973	1978
1973	1973
1973	1977
1973	1981
1973	2932
1973	6198
1977	1978
1977	1973
1977	1977
1977	1981
1977	2932
1977	6198
1981	1978
1981	1973
1981	1977
1981	1981
1981	2932
1981	6198
2932	1978
2932	1973
2932	1977
2932	1981
2932	2932
2932	6198
6198	1978
6198	1973
6198	1977
6198	1981
6198	2932
6198	6198
595	595
595	2932
595	1019
2932	595
2932	2932
2932	1019
1019	595
1019	2932
1019	1019
673	673
673	5894
673	3265
673	3845
673	4893
5894	673
5894	5894
5894	3265
5894	3845
5894	4893
3265	673
3265	5894
3265	3265
3265	3845
3265	4893
3845	673
3845	5894
3845	3265
3845	3845
3845	4893
4893	673
4893	5894
4893	3265
4893	3845
4893	4893
1956	1956
1956	2064
1956	2065
1956	2066
2064	1956
2064	2064
2064	2065
2064	2066
2065	1956
2065	2064
2065	2065
2065	2066
2066	1956
2066	2064
2066	2065
2066	2066
2099	2099
2099	5241
2099	4288
2099	2064
5241	2099
5241	5241
5241	4288
5241	2064
4288	2099
4288	5241
4288	4288
4288	2064
2064	2099
2064	5241
2064	4288
2064	2064
