GeneID1	GeneID2
148362	375056
375056	400823
400823	64853
64853	79802
79802	9015
9015	148398
148398	26155
26155	26683
26683	284593
284593	339451
339451	375790
375790	57801
57801	643837
643837	653635
653635	654835
654835	79501
79501	84069
84069	9636
9636	164127
164127	388743
388743	55061
55061	7100
7100	824
824	84976
84976	149111
149111	23219
23219	29097
29097	4931
4931	7159
7159	80232
80232	8560
8560	116841
116841	128308
128308	128312
128312	149603
149603	200205
200205	2987
2987	339501
339501	375
375	51127
51127	57165
57165	574029
574029	58480
58480	7483
7483	79169
79169	81559
81559	8290
8290	84033
84033	89780
89780	92815
92815	10000
10000	10806
10806	9859
9859	261734
261734	100133612
100133612	127262
127262	148870
148870	1677
1677	1953
1953	27237
27237	339448
339448	388588
388588	49856
49856	57212
57212	57470
57470	63976
63976	7161
7161	9731
9731	100132417
100132417	388692
388692	728855
728855	728936
728936	284661
284661	55966
55966	23254
23254	7799
7799	79656
79656	84871
84871	200010
200010	54558
54558	11223
11223	114819
114819	1187
1187	1188
1188	128272
128272	149563
149563	1969
1969	23013
23013	26099
26099	27129
27129	284729
284729	348487
348487	374955
374955	440567
440567	54455
54455	55672
55672	55707
55707	729614
729614	7709
7709	79363
79363	84809
84809	11332
11332	148479
148479	23261
23261	23463
23463	26038
26038	3104
3104	387509
387509	388591
388591	390992
390992	54626
54626	55735
55735	57449
57449	6146
6146	79707
79707	80835
80835	83715
83715	8514
8514	8718
8718	90326
90326	9903
9903	10542
10542	10768
10768	1435
1435	164153
164153	257
257	2944
2944	2947
2947	2948
2948	2949
2949	3737
3737	3744
3744	3749
3749	388662
388662	643160
643160	64783
64783	79574
79574	84432
84432	85369
85369	9122
9122	10765
10765	1116
1116	1118
1118	134
134	148709
148709	2331
2331	26254
26254	4608
4608	4656
4656	493
493	51094
51094	51706
51706	5549
5549	5877
5877	59349
59349	677843
677843	7832
7832	8497
8497	92703
92703	148808
148808	2005
2005	23114
23114	25778
25778	284578
284578	388730
388730	5129
5129	55220
55220	5929
5929	64710
